ID,Workstream,Feature,User Story,Expected Behavior,Files/Modules,Test Command,Status,Severity,Attempts,Last Checked,Notes
US-001,API/CLI/UI,Tool recommendation selection,"As a programmer or AI engineer, I can select which recommended tools to use.","UI/CLI/API expose selectable state for every suggested skill, agent, MCP server, and harness where supported; select all, none, and subset flows are explicit.","src/ctx/api.py; src/ctx/adapters/generic/ctx_core_tools.py; src/ctx/cli/recommend.py; src/ctx/monitor pages","pytest src/tests/test_recommendations.py src/tests/test_recommend_cli.py src/tests/test_ctx_monitor.py -q",Retested Pass,High,4,2026-07-02,"Phase 1 adds API/core recommendation id, selected=false, and selection_state=suggested; Phase 4A adds CLI --selected/--rejected IDs and related-selection flow; Phase 5B adds dashboard /recommend controls for select all, select none, subset selection, selected IDs, and rejected IDs; Phase 7 passed full pytest (4431 passed, 2 skipped) and ci_preflight --profile pr (19/19)."
US-002,API/CLI/UI,TLDR descriptions,"As a user, I can read a concise TLDR for each suggested tool before selecting it.","Each recommendation has a short description plus relevance reason; fallback uses safe existing metadata when description is absent.","src/ctx/core/resolve/recommendations.py; src/ctx/adapters/generic/ctx_core_tools.py; src/ctx/cli/recommend.py","pytest src/tests/test_recommendations.py src/tests/test_recommendation_surfaces_golden.py -q",Retested Pass,High,4,2026-07-02,"Phase 1 adds API/core tldr and reason fallbacks from existing row metadata; Phase 4A renders CLI tldr/reason; Phase 5B renders TLDR and reason text on the dashboard /recommend page; Phase 7 passed full pytest (4431 passed, 2 skipped) and ci_preflight --profile pr (19/19)."
US-003,Knowledge Graph,Related recommendations after partial selection,"As a user, if I select only some suggestions, ctx proposes related tools.","Related rows are generated from graph/category/tag neighbors, exclude selected/rejected/unavailable/deprecated rows, and include reason text.","src/ctx/core/resolve/recommendations.py; src/ctx/api.py; src/ctx/adapters/generic/ctx_core_tools.py","pytest src/tests/test_recommendations.py src/tests/test_harness_recommendations.py -q",Retested Pass,High,6,2026-07-02,"Phase 2A adds ctx__recommend_related; Phase 2B1 adds public ctx.recommend_related with redacted selection telemetry; Phase 2B2 adds LoopFlow/agent-loop related_recommendations; Phase 4A adds CLI related recommendations; Phase 5B adds dashboard related suggestions for partial selections; Phase 7 passed full pytest (4431 passed, 2 skipped) and ci_preflight --profile pr (19/19)."
US-004,Runtime Lifecycle,Tool activation tracking,"As a user, selected tool activation is recorded with session/system context.","Activation records include entity id/name/type, timestamp, privacy-safe session context, user-selected vs system-selected source, and source context.","src/ctx/adapters/generic/runtime_lifecycle.py; src/ctx/adapters/generic/ctx_core_tools.py","pytest src/tests/test_harness_ctx_core.py -q",Retested Pass,Critical,2,2026-07-02,"Phase 3A adds selected, selection_source, and sanitized source_context to load_entity/session_state and keeps local lifecycle history when telemetry is disabled; Phase 7 passed focused harness-core retest (70 passed), full pytest (4431 passed, 2 skipped), and ci_preflight --profile pr (19/19)."
US-005,Telemetry,Token usage KPI,"As a user, I can see token usage per selected and activated tool.",Exact input/output/total tokens are recorded only with per-tool correlation; session totals stay session-level; estimated/unavailable values are labeled honestly with reason; API/dashboard expose the data; lifecycle token-usage metrics share the lifecycle event trace/span.,src/ctx/adapters/generic/runtime_lifecycle.py; src/ctx/telemetry/__init__.py; src/ctx/cli/run.py,pytest src/tests/test_enterprise_telemetry.py src/tests/test_harness_cli_run.py src/tests/test_harness_ctx_core.py -q,Retested Pass,Critical,5,2026-07-05,Phase 3B adds token_usage to mark_entity_used with exact/estimated/unavailable attribution and emits OTel-style usage counters/histograms when metrics are enabled; Phase 4B labels ctx run usage as session-scoped/unavailable for per-tool attribution; Phase 5A exposes token totals/attribution on /runtime and /api/runtime.json; Phase 8 makes missing host token data a persisted unavailable usage record and adds explicit MCP telemetry/history coverage; Phase 9 correlates lifecycle usage metrics with the lifecycle event trace/span; focused lifecycle suite reported 74 passed.
US-006,Persistence,Historical usage,"As a user, I can view historical token usage per tool over time.","Usage history persists across sessions and can be aggregated by tool, type, session, and source.","src/ctx/adapters/generic/runtime_lifecycle.py; src/ctx/monitor/services/runtime.py","pytest src/tests/test_harness_ctx_core.py src/tests/test_ctx_monitor.py -q",Retested Pass,High,3,2026-07-02,"Phase 3B persists per-entity token_usage summaries in runtime session_state; Phase 5A aggregates lifecycle history by selection source, active loads, token totals, attribution, and recent tool usage for dashboard/API consumers; Phase 8 pins MCP unavailable usage in by-tool/by-type/by-session/by-source history; Phase 7 passed full pytest (4431 passed, 2 skipped) and ci_preflight --profile pr (19/19)."
US-007,Dashboard,Dashboard support,"As a user/admin, I can see tool-selection and token-history KPIs in the dashboard.","Dashboard shows totals, recent usage, history, user-vs-system selected source, and empty/error/unavailable states.","src/ctx/monitor/services/runtime.py; src/ctx/monitor/pages/activity.py; src/ctx/monitor/pages/ops.py; src/ctx/monitor/api/readonly.py","pytest src/tests/test_ctx_monitor.py src/tests/test_monitor_testing_api.py src/tests/test_dashboard_smoke.py -q",Retested Pass,High,3,2026-07-02,"Phase 5A extends the existing Runtime page/API with tool-selection totals, source split, token totals, attribution counts, and recent usage; Phase 5B adds dashboard recommendation selection and related-suggestion controls; Phase 7 browser monitor security gate passed (11 passed) and ci_preflight --profile pr passed 19/19."
US-008,Parity,API/CLI/UI parity,"As a user, behavior is consistent across API, CLI, MCP/core toolbox, LoopFlow, and dashboard.","Shared semantics are reused; differences are documented only where necessary.","src/ctx/api.py; src/ctx/adapters/generic/ctx_core_tools.py; src/ctx/mcp_server/server.py; src/ctx/adapters/loopflow.py; docs","pytest src/tests/test_public_api.py src/tests/test_mcp_server.py src/tests/test_loopflow_adapter.py -q",Retested Pass,High,8,2026-07-02,"Phase 1 preserves recommend_bundle; Phase 2 adds MCP/core, Python API, and LoopFlow related recommendations; Phase 4A adds CLI parity for IDs, TLDR, reasons, selected/rejected inputs, and related rows; Phase 5A adds runtime dashboard/API parity for persisted selection and token usage; Phase 5B adds dashboard recommendation parity; Phase 7 passed full pytest (4431 passed, 2 skipped) and ci_preflight --profile pr (19/19)."
US-009,Runtime Lifecycle,Session rejection memory durability,As a user I do not receive the same rejected recommendation again in the same session unless new evidence justifies it.,"Rejected IDs persist with complete-stream tamper detection, bounded indexed reads, deterministic updates, and safe recovery without mutating canonical history.",src/ctx/adapters/generic/runtime_lifecycle.py; src/tests/test_harness_ctx_core.py,.venv/bin/python -m pytest -q --no-cov src/tests/test_harness_ctx_core.py,Retested Pass,High,3,2026-07-26,"Commit 2ac780cc independently passed complete-stream tamper checks, 100k-event median read 0.040s, update 0.042s, migration and recovery, concurrency and permissions, and 196 broader tests."
QA-001,QA,Regression suite,"As a maintainer, I can ship without breaking existing recommendation/telemetry/dashboard behavior.","Focused milestone tests, ruff, mypy, full pytest, ci_preflight, and no-mistakes pass.","src/tests; scripts/ci_preflight.py; no-mistakes gate","python scripts/ci_preflight.py --profile pr; no-mistakes axi run --intent ...",Retested Pass,Critical,11,2026-07-05,"Phase 2 slices passed; Phase 3A passed: 142 passed; Phase 3B usage persistence/metrics slice passed: 70 passed plus ruff, format, and mypy; Phase 4A CLI selection slice passed: 6 passed plus ruff, format, and mypy; Phase 4B runtime attribution slice passed: 72 passed plus ruff, format, and mypy; Phase 5A dashboard slice passed: 3 focused tests, 8 runtime monitor tests, 5 dashboard smoke/API tests plus ruff, format, and mypy; Phase 5B dashboard recommendation slice passed: 4 focused tests, full monitor 180 passed, ruff, format, and mypy; Phase 7 passed ruff format/check, mypy, full pytest (4431 passed, 2 skipped), ci_preflight --profile pr (19/19), stats check, docs build, public tracker tests, and final no-mistakes validation in run 01KWSCY4EF01EXWSHYB5SGS4BC; post-merge inventory cleanup PR #239 also passed."
