bug_id,duplicate_of,severity,journey,title,file,line,category,what_breaks,repro,suggested_fix,found_by,verification,verification_evidence,reported_in_journeys,fix_status,fix_commit,retest_evidence
FITBUG-001,,P0,budget,The authorized --budget is never enforced during execution; each trial gets its own fixed $2.00 ceiling,src/ctx/cli/fit.py,430,unauthorized-spend,"`args.budget` is used only to build the pre-flight plan (fit.py:419, 438, 450). It is never passed to `_run_evaluation`, `execute_trials`, `make_live_runner`, or `build_agent_driver` -- `grep -rn budget src/ctx/cli/fit.py src/ctx/fit/execution.py src/ctx/fit/live_runner.py` shows no path from the flag to the runner. Instead every trial is handed an independent `--budget-usd 2.0` (src/ctx/fit/providers.py:29 `DEFAULT_PER_TRIAL_BUDGET_USD = 2.0`, emitted at providers.py:76-77), and nothing anywhere accumulates spend across trials or stops the campaign when the approved total is reached. On the scaffolded repo the gate reports `decision: ready` for a plan of 18 executions under `--budget 0.20`; the code then permits 18 x $2.00 = $36.00 of real spend, 180x what the user authorized. The product's central promise -- ""it never spends money the user did not authorize"" -- holds only for the estimate, not for the run.","CTXROOT=/Users/steves/Steves_Files/Work/Research_and_Papers/ctx
W=/tmp/ctx-fit-repro; rm -rf $W; mkdir -p $W/repo/src/demo $W/repo/tests $W/bin
ln -sf $CTXROOT/.venv/bin/ctx $W/bin/ctx
cd $W/repo && git init -q -b main && git config user.email t@e.com && git config user.name T
printf '[project]\nname=""demo""\nversion=""0.1.0""\n' > pyproject.toml
: > src/demo/__init__.py
printf 'def add(a,b):\n    return a+b\n' > src/demo/calc.py
printf 'import sys, pathlib\nsys.path.insert(0, str(pathlib.Path(__file__).resolve().parents[1] / ""src""))\nfrom demo.calc import add\ndef test_add(): assert add(1,2)==3\n' > tests/test_calc.py
git add -A && git commit -qm ""initial commit with add""
printf 'def add(a,b):\n    return a+b\n\n\ndef mul(a,b):\n    return a*b\n' > src/demo/calc.py
printf 'from demo.calc import mul\ndef test_mul(): assert mul(3,4)==12\n' >> tests/test_calc.py
git add -A && git commit -qm ""add mul() helper""

# 1. the gate approves 18 executions under a $0.20 budget
env -u OPENAI_API_KEY -u ANTHROPIC_API_KEY -u CTX_FIT_API_KEY $CTXROOT/.venv/bin/ctx fit . --budget 0.20 | sed -n '/Experiment plan/,$p'
#   Total executions:  18 / Estimated cost: $0.06-$0.16 / ""Ready to run""

# 2. what execution actually authorizes
$CTXROOT/.venv/bin/python -c ""from ctx.fit.providers import DEFAULT_PER_TRIAL_BUDGET_USD as b; print('per-trial cap passed to ctx run: \$%.2f' % b); print('ceiling for 18 executions: \$%.2f' % (18*b))""
#   per-trial cap passed to ctx run: $2.00
#   ceiling for 18 executions: $36.00

# 3. proof the flag never reaches the runner
grep -rn budget $CTXROOT/src/ctx/cli/fit.py $CTXROOT/src/ctx/fit/execution.py $CTXROOT/src/ctx/fit/live_runner.py","Thread the campaign budget through `_run_evaluation` into `execute_trials`: accumulate `TrialResult.cost_usd` as trials complete, stop the campaign (recording the remaining trials as a distinct outcome, not `failed`) once the cumulative total reaches the budget, and derive `build_agent_driver(per_trial_budget_usd=...)` from the remaining budget rather than a module constant. A trial whose cost comes back `None` must also halt the campaign, since spend can no longer be tracked against the authorization.",journey finder,CONFIRMED by execution,"`_run_evaluation(profile, args)` at src/ctx/cli/fit.py:311 takes `args` and never reads it — `sed -n '311,374p' src/ctx/cli/fit.py | grep -n args` matches only line 2, the signature. `grep -rn budget src/ctx/fit/execution.py src/ctx/fit/live_runner.py` returns nothing at all. fit.py:353 calls `build_agent_driver()` with no arguments, so `per_trial_budget_usd` falls back to `DEFAULT_PER_TRIAL_BUDGET_USD = 2.0` (providers.py:29) and is emitted at providers.py:76-77. On the scaffolded repo `ctx fit . --budget 0.20` printed `Total executions: 18 / Estimated cost: $0.06-$0.16 / Ready to run`, while the executor hands out an independent $2.00 cap per trial and nothing accumulates `TrialResult.cost_usd` across trials or halts the campaign.","budget, recommend, trials",Fixed,(pending commit),"PASS: the campaign budget now reaches execute_trials, accumulates TrialResult.cost_usd, and stops the campaign at the authorization; the per-trial cap is derived from the remainder instead of the module constant. Reviewer's independent end-to-end repro went from $54.00 authorized against a $0.20 budget to exactly $0.20. 13 new tests, 9 execution and 4 CLI, all red against pristine code."
FITBUG-001.dup1,FITBUG-001,P0,trials,`--budget` is a plan-time estimate that is never enforced at runtime; a $1 budget spent $54,src/ctx/cli/fit.py,355,,"experiment.py's docstring promises ""Nothing expensive happens by accident"" and ""execution is refused unless the plan fits an explicit budget"", but the budget is checked exactly once, against a synthetic estimate (20,000 in / 4,000 out tokens per execution at gpt-4o-mini rates, hardcoded at experiment.py:216-217 and cli/fit.py:214). After that it is never seen again: `grep -rn budget src/ctx/fit/*.py` shows zero references in execution.py and live_runner.py, _run_evaluation never receives args.budget, and build_agent_driver() is called with its defaults so each trial is capped at providers.DEFAULT_PER_TRIAL_BUDGET_USD = $2.00 — a number with no relationship to what the user asked for. Nothing accumulates spend across trials, nothing aborts, and the recommendation prints totals far above the budget without a warning or a limitation line. With the default 3 candidates x 3 tasks x 3 trials the ceiling is 27 x $2.00 = $54 for any budget the estimate happens to clear. Note also the asymmetry: `--apply`, which only writes files, demands `--yes`, while spending real money needs no confirmation at all — merely an OPENAI_API_KEY that happens to be exported.",,,paired reviewer,"UNVERIFIED - reported by the paired reviewer, not itself adversarially checked",,,Fixed,,
FITBUG-001.dup2,FITBUG-001,P0,recommend,--budget is enforced only against an ex-ante estimate; actual campaign spend is unbounded,src/ctx/cli/fit.py,355,,"The budget gate lives entirely in `plan_experiment` (experiment.py:254-260), which compares a litellm token estimate to `--budget` once, before anything runs. `execute_trials` takes no budget parameter, tracks no running total, and has no abort path; `apply_plan`/`recommend` never compare measured spend to the authorized number. The only runtime cap is the hardcoded `DEFAULT_PER_TRIAL_BUDGET_USD = 2.0` passed as `--budget-usd` to each `ctx run`, which is per trial and unrelated to `--budget`. With the shipped defaults (up to 4 candidates x 3 tasks x 3 trials) the real ceiling is 36 x $2.00 = $72 regardless of what the user authorized. Nothing in the output flags the overrun — the measured total is printed as an ordinary cost column and the run is reported as a normal success. providers.py:27-29 asserts the opposite: 'The campaign-level budget is enforced separately, before any spend.' Before is the only place it is enforced.",,,paired reviewer,"UNVERIFIED - reported by the paired reviewer, not itself adversarially checked",,,Fixed,,
FITBUG-002,,P0,budget,Every candidate executes an identical command: capability_ids and instructions never reach the agent,src/ctx/fit/providers.py,70,,"`AgentInvocation` carries `capability_ids` (live_runner.py:54, populated at live_runner.py:173) and the driver never reads it — `grep -n 'capability_ids\|instructions' src/ctx/fit/providers.py` returns zero matches. `CandidateConfiguration.instructions` is not even placed on the invocation. The argv built at providers.py:70-81 is therefore [ctx, run, --json, --max-iterations, 25, --budget-usd, 2.0] plus the prompt, with `--model` omitted because every candidate carries model=None. Nothing materializes the selected skills into the workspace either. So `baseline` (no capabilities), `recommended` (five capabilities) and `lean` (one capability) are executed as the same process with the same prompt. Any difference in their scores would be model nondeterminism, and the product would then write that noise into AGENTS.md via `--apply` and into a PR body as 'the cheapest setup that reliably passed real tasks'. This is not downstream of the argv bug in finding 2: fixing `--task` leaves the comparison exactly as meaningless, because the thing being compared is never varied.",,,paired reviewer,"CONFIRMED by code-reading (independent): grep -n 'capability_ids|instructions' src/ctx/fit/providers.py returns nothing, so the driver never reads either field; candidates differ only by --model.",,"budget, recommend, trials",Fixed,(pending commit),"PASS: capability material now reaches the agent, so candidates differ in what actually runs. Reviewer verified independently: with the fix reverted the real generator produces three byte-identical 257-byte commands (1 distinct of 3); with it restored, three distinct commands. Capability kinds a trial cannot apply (e.g. MCP servers) are refused on both sides of the seam rather than silently presented as compared."
FITBUG-002.dup1,FITBUG-002,P0,trials,"Every candidate runs an identical agent command: capability_ids never reach the harness, so the comparison is vacuous",src/ctx/fit/providers.py,69,,"live_runner.py:173 dutifully packs candidate.capability_ids into AgentInvocation, and build_agent_driver's `drive` never reads the field — it builds `ctx run --json --max-iterations 25 --budget-usd 2.0 [--model M] <prompt>` and nothing else. candidate.instructions is not even carried into AgentInvocation. On this repository generate_candidates produces baseline (0 capabilities), recommended (5) and lean (1), all with model=None, so the only attribute that could differentiate them is the one that is dropped. Every trial of every candidate therefore executes the same command in the same kind of workspace, and the recommendation layer ranks pure noise. The verdict lines the product prints — 'A cheaper configuration reliably works on this repository' / 'No tested configuration beat your current setup' — are computed over byte-identical executions, which is a stronger form of dishonesty than any of the reported findings: the evidence is not merely incomplete, it cannot distinguish the things being compared.",,,paired reviewer,"CONFIRMED by code-reading (independent): grep -n 'capability_ids|instructions' src/ctx/fit/providers.py returns nothing, so the driver never reads either field; candidates differ only by --model.",,,Fixed,,
FITBUG-002.dup2,FITBUG-002,P0,recommend,"Candidates are never actually configured differently: capability_ids never reach the agent, so every arm of the experiment runs an identical command",src/ctx/fit/providers.py,70,,"`AgentInvocation.capability_ids` is populated at live_runner.py:173 and then read by nobody. `build_agent_driver`'s `drive()` builds `[ctx, run, --json, --max-iterations, 25, --budget-usd, 2.0]` plus `--model` (always absent: cli/fit.py never passes a model to generate_candidates, so every candidate has model=None) plus `_prompt(invocation)`, which mentions only the task. `_prepare_workspace` copies the repo as-is and installs nothing. So `baseline` (0 capabilities), `recommended` (N capabilities) and `lean` (1 capability) are executed as byte-identical agent invocations against identical workspaces. Whatever cost difference the trials record is LLM run-to-run variance, and the lexicographic rule then elects the arm that happened to be cheapest and calls it 'the cheapest setup that reliably passed real tasks'. `--apply` writes that noise-selected capability list into AGENTS.md and the PR body asserts a dollar saving for it. This is the whole product's load-bearing claim, and it is measuring nothing. It also makes candidates.py:84-88 self-contradictory: `configuration_hash` says 'two candidates with the same hash are the same experiment and must never both be run', yet all of them are the same experiment at runtime.",,,paired reviewer,"CONFIRMED by code-reading (independent): grep -n 'capability_ids|instructions' src/ctx/fit/providers.py returns nothing, so the driver never reads either field; candidates differ only by --model.",,,Fixed,,
FITBUG-003,,P0,surface,"`ctx.fit` is not declared in pyproject packages, so an installed wheel has no Fit package: bare `ctx`, `ctx fit`, and `ctx doctor` all die with a ModuleNotFoundError traceback",pyproject.toml,182,packaging,"`[tool.setuptools] packages` is an explicit list (lines 182-210) and omits `ctx.fit`, even though src/ctx/fit/ contains 13 modules (profile, readiness, release_catalog, tasks, candidates, execution, recommend, apply, ...) that the whole product depends on. setuptools ships exactly the listed packages, so ctx/fit is absent from the built wheel. From a real `pip install claude-ctx`, every command in the newly advertised surface fails: bare `ctx` -> `ModuleNotFoundError: No module named 'ctx.fit'` from ctx/cli/fit.py:402, `ctx fit` -> same, `ctx doctor` -> same from ctx/cli/doctor.py:54. All three exit 1 with a raw Python traceback rather than any product output. The commit that collapsed the surface to {fit, doctor, advanced} therefore leaves two of the three advertised commands non-functional on a clean install; only `ctx advanced run|resume|sessions` and `ctx --help` still work. The bug is invisible in this repo because the venv is an editable install that puts src/ on sys.path.","REPO=/Users/steves/Steves_Files/Work/Research_and_Papers/ctx
mkdir -p /tmp/ctxpkg && cp ""$REPO/pyproject.toml"" ""$REPO/README.md"" ""$REPO/MANIFEST.in"" ""$REPO/LICENSE"" /tmp/ctxpkg/
rsync -a --exclude='__pycache__' --exclude='tests' ""$REPO/src/"" /tmp/ctxpkg/src/
cd /tmp/ctxpkg && ""$REPO/.venv/bin/python"" -m build --wheel --no-isolation
""$REPO/.venv/bin/python"" -c ""import zipfile;print([n for n in zipfile.ZipFile('dist/claude_ctx-1.0.21-py3-none-any.whl').namelist() if n.startswith('ctx/fit')])""
# prints []  -> the entire Fit package is missing from the wheel
""$REPO/.venv/bin/python"" -m venv /tmp/ctxfresh
/tmp/ctxfresh/bin/pip install -q /tmp/ctxpkg/dist/claude_ctx-1.0.21-py3-none-any.whl pyyaml markdown networkx numpy pymdown-extensions
mkdir -p /tmp/ctxdemo && cd /tmp/ctxdemo && git init -q . && printf 'def test_ok():\n    assert True\n' > test_x.py && git add -A && git -c user.email=a@b -c user.name=a commit -qm init
/tmp/ctxfresh/bin/ctx          # ModuleNotFoundError: No module named 'ctx.fit', exit 1
/tmp/ctxfresh/bin/ctx fit      # same
/tmp/ctxfresh/bin/ctx doctor   # same","Add ""ctx.fit"" to the `packages` list in pyproject.toml (alongside ""ctx.cli"" at line 202). Then replace the hand-maintained `_EXPECTED_SUBPACKAGES` guardrail with one that walks src/ctx for `__init__.py` files so this class of omission cannot recur, and add a wheel-install smoke lane that runs `ctx`, `ctx fit`, and `ctx doctor` from a clean venv.",journey finder,CONFIRMED by execution,"Built the wheel and confirmed `[n for n in namelist() if n.startswith('ctx/fit')] == []`. Installed it into a clean venv with the five base deps: bare `ctx` -> ModuleNotFoundError: No module named 'ctx.fit' from ctx/cli/fit.py:402; `ctx fit` -> same; `ctx doctor` -> same from ctx/cli/doctor.py:54. `ctx --help` still works. Programmatic check: on-disk-but-undeclared == ['ctx.fit'], declared-but-missing == []. I then patched only `""ctx.fit""` into the packages list, rebuilt, reinstalled into a second clean venv, and `ctx doctor` ran to completion — single root cause, complete fix. Two corrections to their write-up: (1) CI builds via scripts/build_reproducible_dist.py:120-125 which runs `python -m build --no-isolation` from the repo root, i.e. exactly my repro, so the published wheel is affected — no mitigation; (2) their suggested fix asks for a wheel-install smoke lane, but one already exists at .github/workflows/test.yml:729. It passes because line 835 only runs `""$cmd"" --help`, and `ctx --help` is the single command that never imports ctx.fit (ctx/cli/fit.py keeps `from ctx.fit.profile import FitProfile` under TYPE_CHECKING and does the real import inside cmd_fit). Its `ep.load()` check passes for the same reason.",surface,Fixed,,"PASS: added ctx.fit to pyproject packages; rebuilt wheel now contains 13 ctx/fit/ entries (was 0); clean venv install of the wheel runs bare `ctx` successfully (previously ModuleNotFoundError: No module named 'ctx.fit' on every entry point). Root cause of the miss: test_pyproject_declares_all_subpackages compared two hand-maintained lists to each other; it now walks the source tree. Clean-host contract now exercises bare ctx, ctx fit, ctx fit --json and ctx doctor on the installed wheel, asserting on output because bare ctx exited 0 while crashing."
FITBUG-004,,P0,trials,A trial run against a git worktree writes into the user's real repository and moves their branch,src/ctx/fit/live_runner.py,117,isolation,"`_prepare_workspace` copies `.git` verbatim (line 98, `symlinks=True`). For a linked worktree created by `git worktree add`, `.git` is a *file* containing an absolute `gitdir:` path into the original repository, so every git command run inside the ""throwaway"" workspace — including this module's own `git checkout <sha>^ -- <paths>` at line 117 — operates on the user's real object store, index, HEAD and branch. Reproduced twice: (a) `_prepare_workspace` alone stages a revert of the source file into the user's index (`git status` goes from clean to `MM src/calc.py`, so a plain `git commit` would commit the deleted code); (b) an agent that commits its work inside the workspace creates a real commit on the user's checked-out branch, advancing it and leaving the user's working tree dirty against a commit they never made. The module's first non-negotiable property — ""the user's working tree is never touched"" — is false, and a subsequent `git reset --hard` to clean up destroys work.","CTX=/Users/steves/Steves_Files/Work/Research_and_Papers/ctx
T=$(mktemp -d /tmp/ctxfit-wt-XXXX); cd $T
git init -q proj && cd proj && git config user.email a@a && git config user.name a
mkdir src tests
printf '[project]\nname=""p""\nversion=""0""\n[tool.pytest.ini_options]\ntestpaths=[""tests""]\n' > pyproject.toml
printf 'def add(a,b):\n    return a+b\n' > src/calc.py
printf 'def test_add(): assert 1\n' > tests/test_calc.py
git add -A && git commit -qm init
printf 'def add(a,b):\n    return a+b\n\ndef mul(a,b):\n    return a*b\n' > src/calc.py
printf 'def test_mul(): assert 1\n' >> tests/test_calc.py
git add -A && git commit -qm ""feat: add mul""
git worktree add -q ../wt -b feature
cd $T/wt
echo ""BEFORE: $(git log --oneline -1) status='$(git status --porcelain)'""
$CTX/.venv/bin/python - ""$T/wt"" <<'PY'
import sys, subprocess
from ctx.fit.live_runner import make_live_runner, AgentOutcome
from ctx.fit.tasks import derive_tasks
from ctx.fit.candidates import CandidateConfiguration
repo = sys.argv[1]
task = derive_tasks(repo, verify_command=(""false"",), limit=1).tasks[0]
def agent(inv):
    (inv.workspace/""AGENT_WAS_HERE.txt"").write_text(""written inside the 'isolated' workspace\n"")
    subprocess.run([""git"",""add"",""-A""], cwd=inv.workspace)
    subprocess.run([""git"",""-c"",""user.email=a@a"",""-c"",""user.name=a"",""commit"",""-qm"",""agent work""], cwd=inv.workspace)
    return AgentOutcome(completed=True, cost_usd=0.01)
c = CandidateConfiguration(candidate_id=""c1"", role=""baseline"", capability_ids=(), model=None, instructions=(), selection_reason="""")
print(""trial:"", make_live_runner(repo, agent)(c, task, 0).outcome)
PY
echo ""AFTER : $(git log --oneline -1) status='$(git status --porcelain)'""
git log --oneline -3

# Observed:
# BEFORE: 662f2af feat: add mul status=''
# AFTER : bbd3ae1 agent work status=' D AGENT_WAS_HERE.txt\n M src/calc.py'","Do not copy `.git` and then run git inside the copy. Either materialize the workspace with `git worktree add --detach <tmp> <sha>` / `git archive <sha> | tar -x` (plus a separate copy of the retained test files), or, if the copytree stays, detect that `(repo/'.git')` is a file and refuse (infrastructure-failure) rather than proceeding, and rewrite the copy's `.git` into a standalone repository before any git command runs in it.",journey finder,CONFIRMED by execution,"Reproduced both sub-claims. (a) _prepare_workspace alone: worktree `git status --porcelain` went from '' to 'MM src/calc.py' and `git diff --cached --stat` showed 'src/calc.py | 3 ---' staged in the USER'S index — a plain `git commit` would commit the deletion. (b) Full trial with a committing agent: BEFORE 'c5b726a feat: add mul' status='' -> AFTER 'b931628 agent work' status=' D AGENT_WAS_HERE.txt / M src/calc.py'. The user's checked-out branch advanced to a commit created inside the supposedly throwaway workspace. Mechanism confirmed: `(ws/'.git').is_file()` is True in the copy, so every git command in the copy resolves through the absolute gitdir: pointer back to the original repo. Same applies to submodules.",trials,Fixed,(pending commit),"PASS: the workspace is now materialised from the object store instead of copying .git. Regression test builds a real linked git worktree and asserts the origin's HEAD, index, refs, packed-refs and every checkout file are byte-identical after a trial, reading raw bytes off disk rather than via git status, which can itself rewrite the index."
FITBUG-005,,P0,trials,"Nothing protects the tests that decide the verdict: an agent that deletes or skips them is recorded ""verified""",src/ctx/fit/live_runner.py,181,,"task.test_paths is documented as the specification (""Never reverted, never shown as a hint"", tasks.py:64) and the prompt tells the agent ""Do not modify the tests"" (providers.py:47), but nothing enforces it. The workspace is fully writable by the agent, and after the agent returns live_runner runs the whole suite and asks only whether it exits zero — it never checks that the test files are byte-identical to what it handed over, and never re-runs the specification from a pristine copy. An agent that implements nothing and simply removes the failing test, or drops in a conftest.py that skips every collected item, is scored 'verified'. This is the direct inverse of the module's second non-negotiable: the repository is no longer judging, the agent is. Unlike every finding they filed, this one can produce a *wrong winner* rather than no winner — a test-deleting candidate looks perfectly reliable and, because it stops early, cheap, so it wins the lexicographic rule outright.",,,paired reviewer,"UNVERIFIED - reported by the paired reviewer, not itself adversarially checked",,"recommend, trials",Fixed,(pending commit),"PASS: verified to reproduce first (a driver that deletes the failing test was recorded outcome='verified'). Test file digests are now captured before the agent and re-checked after; a changed specification records a distinct void outcome that does not count toward reliability. Also closed in the same function: git archive honours export-ignore silently, which could have produced a workspace with no specification."
FITBUG-005.dup1,FITBUG-005,P1,trials,"The verdict comes from the whole test suite, so a task that never started red is still scored and billed",src/ctx/fit/live_runner.py,181,red-gate,"Both the red gate (line 159) and the verdict (line 181) run `task.verify_command`, which is the repository-wide test command; `FitTask.test_paths` — documented at tasks.py:64 as ""Files that prove the task was done"" — is never consulted, and the pre-agent failure set is never compared with the post-agent one. So any unrelated pre-existing failure in the suite is read as ""this task starts red"". Reproduced with a working pytest: a `chore:` commit whose source revert breaks nothing at all (its own tests pass 3/3 on the reverted tree) was accepted by the red gate because one unrelated test in the repo fails; the agent was invoked and billed $0.42; the candidate was recorded `failed`. The same mechanism means that on any repository with one known-broken or flaky test, every candidate is `failed` forever regardless of what it does. ""A task must start red or be discarded"" is not enforced.","CTX=/Users/steves/Steves_Files/Work/Research_and_Papers/ctx
VP=$CTX/.venv/bin/python
T=$(mktemp -d /tmp/ctxfit-scope-XXXX); cd $T
git init -q proj && cd proj && git config user.email a@a && git config user.name a
mkdir src tests
printf '[project]\nname=""p""\nversion=""0""\n[tool.pytest.ini_options]\ntestpaths=[""tests""]\n' > pyproject.toml
printf 'def add(a,b):\n    return a+b\n' > src/calc.py
printf 'import sys,os\nsys.path.insert(0,os.path.join(os.path.dirname(__file__),"".."",""src""))\nfrom calc import add\ndef test_add(): assert add(1,2)==3\n' > tests/test_calc.py
printf 'def test_unrelated_known_broken():\n    assert False\n' > tests/test_flaky.py   # one unrelated failure
git add -A && git commit -qm init
printf 'def add(a,b):\n    return a+b\n\ndef mul(a,b):\n    return a*b\n' > src/calc.py
printf '\ndef test_mul():\n    from calc import mul\n    assert mul(2,3)==6\n' >> tests/test_calc.py
git add -A && git commit -qm ""feat: add mul""
# a commit whose source change is inconsequential: reverting it breaks nothing
printf 'def add(a,b):\n    return a+b\n\ndef mul(a,b):\n    return a*b\n\n# housekeeping\n' > src/calc.py
printf '\ndef test_always_true(): assert True\n' >> tests/test_calc.py
git add -A && git commit -qm ""chore: comment + trivial test""
$VP - ""$T/proj"" ""$VP"" <<'PY'
import sys
from ctx.fit.live_runner import make_live_runner, AgentOutcome
from ctx.fit.tasks import derive_tasks
from ctx.fit.candidates import CandidateConfiguration
repo, py = sys.argv[1], sys.argv[2]
verify = (py, ""-m"", ""pytest"", ""-q"")
t = derive_tasks(repo, verify_command=verify, limit=1).tasks[0]
print(""task:"", t.title)
def lazy(inv):
    print(""  agent did absolutely nothing, billed $0.42"")
    return AgentOutcome(completed=False, cost_usd=0.42)
c = CandidateConfiguration(candidate_id=""c1"", role=""baseline"", capability_ids=(), model=None, instructions=(), selection_reason="""")
r = make_live_runner(repo, lazy)(c, t, 0)
print(""outcome:"", r.outcome, ""|"", r.detail)
PY
# proof the task is NOT red for its own reason:
P=$(mktemp -d); cp -R $T/proj/. $P/ && cd $P && git checkout -q HEAD^ -- src/calc.py && $VP -m pytest -q tests/test_calc.py | tail -1

# Observed:
# task: chore: comment + trivial test
#   agent did absolutely nothing, billed $0.42
# outcome: failed | repository tests still failing
# 3 passed in 0.05s      <- the task's own tests are green on the reverted tree","Scope both the red gate and the verdict to `task.test_paths` (run `<verify_command> <test_paths>` where the runner supports it), or record the set of failing tests before the agent runs and require that (a) at least one test in `task.test_paths` is in it and (b) the verdict is ""the pre-existing failures in `task.test_paths` now pass"", rather than ""the whole suite exits zero"".",journey finder,CONFIRMED by execution,"Reproduced exactly. Task 'chore: comment + trivial test' whose source revert breaks nothing was accepted by the red gate because one unrelated test fails; a do-nothing agent was billed $0.42 and recorded outcome='failed', counts_toward_reliability=True. Proof the task is not red for its own reason: running the task's own test_paths on the reverted tree gave '3 passed in 0.05s'. task.test_paths is never consulted at live_runner.py:159 or :181, and the pre-agent failure set is never compared with the post-agent one.",,Fixed,,
