dashboard_id,surface,page_or_api,route_or_control,source_evidence,user_story,expected_behavior,setup_preconditions,test_command_or_steps,status,first_test_result,error_id,error_summary,fix_status,retest_result,last_verified_at,notes
DASH-PAGE-001,Dashboard Page,Home,/,src/ctx/monitor/pages/home.py,As a dashboard user I can open the monitor home page,Home renders current graph stats loaded counts quick actions and health summaries without blocking on full graph parsing,ctx-monitor running,Open / and inspect cards links and number formatting,Tested Pass,"PASS: live Playwright page probe opened /, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-002,Dashboard Page,Loaded,/loaded,src/ctx/monitor/pages/loaded.py,As a dashboard user I can see currently loaded skills agents and MCPs,Loaded page renders active entity state and exposes safe load or unload actions where allowed,ctx-monitor running with manifest data,Open /loaded and verify cards pagination and actions,Tested Pass,"PASS: live Playwright page probe opened /loaded, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-003,Dashboard Page,Skills,/skills,src/ctx/monitor/pages/skills.py,As a dashboard user I can browse skill and sidecar cards,Skills page supports bounded cards filters pagination grades and wiki links without rendering thousands of cards at once,ctx-monitor running with sidecars,Open /skills and verify search filters pagination and cards,Tested Pass,"PASS: live Playwright page probe opened /skills, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-004,Dashboard Page,SkillSpector,/skillspector,src/ctx/monitor/pages/skillspector.py,As a dashboard user I can review SkillSpector findings,SkillSpector page renders audit records severity filters and remediation context from the audit service,ctx-monitor running with audit data,Open /skillspector and verify filters counts and empty state,Tested Pass,"PASS: live Playwright page probe opened /skillspector, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-005,Dashboard Page,Wiki,/wiki,src/ctx/monitor/pages/wiki.py,As a dashboard user I can browse wiki entities,Wiki page shows searchable skill agent MCP and harness tiles with type filters and entity links,ctx-monitor running with wiki data,Open /wiki and validate search filters tiles and links,Tested Pass,"PASS: live Playwright page probe opened /wiki, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-006,Dashboard Page,Graph,/graph,src/ctx/monitor/pages/graph.py,As a dashboard user I can explore the knowledge graph,Graph page shows correct top-line counts live slug search interactive neighborhood filters and readable relationship details,ctx-monitor running with graph artifact,Open /graph and test focus search graph render filters click hover double click and match range,Tested Pass,"PASS: live Playwright page probe opened /graph, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-006A,Dashboard Page,Recommend,/recommend,src/ctx/monitor/pages/recommend.py,As a dashboard user I can choose and refine ctx recommendations,Recommend page renders query top-k selected and rejected controls plus recommendation state TLDR reason and related suggestions,ctx-monitor running with recommendation fixture,Open /recommend?q=python&top_k=3 and test select all select none selected rejected and related output,Tested Pass,"PASS: focused pytest covers /recommend route navigation selected checkbox parsing TLDR reason rendering and related suggestion rows.",,,,,2026-07-02,Phase 5B dashboard recommendation slice; deeper live browser pass remains part of the final feature loop.
DASH-PAGE-007,Dashboard Page,Manage,/manage,src/ctx/monitor/pages/manage.py,As a dashboard user I can manage entities,Manage page supports search inspect edit delete and manual import flows guarded by mutation tokens,ctx-monitor running with mutation token,Open /manage and validate search edit delete and import UI without unsafe mutation,Tested Pass,"PASS: live Playwright page probe opened /manage, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-008,Dashboard Page,Harness Setup,/harness,src/ctx/monitor/pages/harness.py,As a custom model user I can run harness setup from the dashboard,Harness Setup interviews model provider goal runtime tools privacy and presents fit or no-fit guidance,ctx-monitor running with harness catalog,Open /harness and test wizard fields validation and dry-run recommendation,Tested Pass,"PASS: live Playwright page probe opened /harness, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
DASH-PAGE-009,Dashboard Page,Docs,/docs,src/ctx/monitor/pages/docs.py,As a dashboard user I can read repo docs inside the monitor,Docs page renders markdown as readable docs with tabs sidebar table of contents and local dashboard search behavior,ctx-monitor running,Open /docs and verify tabs TOC hierarchy search and markdown rendering,Tested Pass,"PASS: live Playwright page probe opened /docs, found expected page markers, and detected no traceback or server-error text; dashboard_smoke also returned HTTP 200.",,,,,2026-06-25,Deeper controls are tracked in dedicated function/API/mutation rows.
