feature_id,parent_feature_id,source_tracker,surface,feature,entrypoint_or_route,source_evidence,risk_level,user_story,expected_behavior,setup_preconditions,test_command_or_steps,verification_mode,status,evidence,bug_id,bug_summary,bug_repro,fix_status,retest_evidence,last_verified_at,owner_lane,notes,review_status,review_notes,fix_strategy,validation_status
ENGINE-002,ENGINE-001,expert-lane/api-mcp-harness,Capability Engine,"Authenticated query delivery, installed-skill activation/exposure, and Codex/Claude adapters",prepare_query_delivery; inspect_activated_release_skill; activate_installed_release_skill; Codex and Claude query hooks,src/ctx/adapters/claude_code/query_handler.py; src/ctx/adapters/codex/hook_handler.py; src/ctx/engine/engine.py; src/ctx/engine/store.py; src/ctx/runtime/activated_skill_availability.py; src/ctx/runtime/activated_skill_exposure.py; src/ctx/runtime/prepared_query_delivery.py; src/ctx/runtime/production_catalog.py; src/ctx/runtime/query_delivery.py; src/ctx/runtime/query_session.py; src/ctx/runtime/release_material.py; src/ctx/runtime/release_skill_dispatcher.py; src/ctx/runtime/release_skill_lifecycle.py; src/tests/engine/test_store_read_only.py; src/tests/runtime/test_activated_skill_availability.py; src/tests/runtime/test_activated_skill_controller_integration.py; src/tests/runtime/test_activated_skill_exposure.py; src/tests/runtime/test_query_hook_delivery.py; src/tests/runtime/test_query_session.py; src/ctx/runtime/_query_attempt_posix.py; src/ctx/runtime/release_skill_layout.py; src/ctx/runtime/workspace_identity.py; src/ctx/runtime/activation_execution.py; src/ctx/runtime/managed_artifact_registry.py; src/ctx/runtime/managed_query.py; src/ctx/runtime/managed_query_service.py; src/ctx/runtime/managed_query_store.py; src/ctx/runtime/prompt_capability_manager.py,Critical,"As a Codex or Claude Code user, a later relevant prompt can receive one exact installed and activated skill from CAS inside the same globally bounded 0-5 prompt plan.","The controller opens one read-only sealed availability snapshot under an epoch-independent logical-prompt slot, never activates during inspection, plans one 0-5 bundle, consumes one engine-issued bundle permit, routes static material from the authenticated package and installed material directly from verified CAS, commits a receipt, and burns the terminal before emission.",Release sequence 4 assets are authenticated; the exact skill is installed and explicitly activated in the same host/native-session lifecycle scope; Codex or Claude hook input is supported.,.venv/bin/python -m pytest -q src/tests/engine/test_store_read_only.py src/tests/runtime/test_production_catalog.py src/tests/runtime/test_query_session.py src/tests/runtime/test_query_hook_delivery.py src/tests/runtime/test_release_skill_lifecycle.py src/tests/runtime/test_activated_skill_exposure.py src/tests/runtime/test_activated_skill_availability.py src/tests/runtime/test_activated_skill_controller_integration.py src/tests/test_codex_query_handler.py src/tests/test_claude_query_handler.py,Automated Contract Test plus Independent Security Review,Needs Validation,"PASS CURRENT TREE: independent integrated review reports 206 focused tests passed with no remaining P0/P1 in the sequence-4 slice; the package/clean-host/benchmark compatibility selection reports 495 passed; all 19 PR-preflight lanes pass with 7,723 unit tests, nine skips, 92.03 percent coverage, mypy over 526 source files, isolated-wheel Claude/Codex hook execution, strict docs, similarity, browser security, reproducible build, and package checks.",,,,,,2026-08-02,Runtime/API/MCP Lane,"Verified only for the same host/native-session lifecycle scope. Cross-session/cross-host inventory, prompt-driven install, agents/MCPs, cooling/unload, and user/org graph ingestion remain open. Claude same-text submissions conservatively share one logical prompt ID.",Accepted sequence-4 activated-skill slice; broader product plan remains open,"Independent review closed mutating availability, epoch slot duplication, double-open drift, arbitrary authority, packaged CAS bypass, and schema-healing inspection. Claude same-text identity is a documented P2 host limitation.","Preserve the sealed snapshot, engine-issued bundle/route permits, exclusive package-or-CAS source routing, strict read-only verification, and terminal-before-emission. Next add workspace-scoped inventory and prompt-driven install without a second planner.","Focused, compatibility, and all 19 current-tree PR-preflight lanes green; native Windows and real interactive host evidence remain pending."
"CLI-050","ENGINE-002","docs/qa/feature-user-story-status.csv","CLI","Codex prompt-hook installer","ctx-install-codex-hook","pyproject.toml; src/ctx/adapters/codex/install_query_hook.py; src/ctx/adapters/codex/hook_handler.py; src/ctx/adapters/hook_config.py; src/ctx/adapters/query_hook_io.py; src/tests/test_codex_query_hook_install.py","High","As a Codex user I can register the CTX prompt hook without replacing unrelated hook configuration.","The installer resolves an absolute Codex hooks file, validates and updates it under the shared locked JSON boundary, preserves unrelated valid handlers, replaces prior CTX handlers idempotently, and tells the user that Codex approval is still required.","Writable absolute CODEX_HOME or an explicit absolute hooks path.",".venv/bin/python -m pytest -q --no-cov src/tests/test_codex_query_hook_install.py src/tests/test_codex_query_hook.py","Automated Test","Needs Validation","PASS CURRENT TREE: source tests cover exact hook shape, idempotent preservation, unsafe target rejection, bounded files, and CLI failure reporting; the clean-wheel host contract installed and exercised the Codex entry point, and all 19 PR-preflight lanes passed.","","","","","","2026-08-02","Runtime/API/MCP Lane","The command registers configuration only; Codex policy and user approval still control whether the hook executes.","Focused source, package, and clean-host validation green","The editable-install refresh proved the missing executable was stale local metadata rather than an MCP or installer source defect.","Retain the locked shared JSON updater and explicit post-install approval notice.","Validated by focused tests, isolated-wheel proof, clean-host contract, and all 19 current-tree preflight lanes."
"MAINT-020","MAINT-016","expert-lane/telemetry-release-governance","Maintainer","Deterministic no-network CTX pair bridge","python scripts/ctx_ab_deterministic_bridge.py","scripts/ctx_ab_deterministic_bridge.py; scripts/ctx_ab_benchmark.py; src/tests/test_ctx_ab_deterministic_bridge.py; src/tests/test_ctx_ab_deterministic_pair.py; src/tests/test_ctx_ab_live_coding_pair.py","High","As a CTX maintainer I can validate the exact baseline-versus-CTX request delta and paired evidence plumbing without spending provider tokens.","The approval-bound loopback bridge accepts only the pinned chat-completions path, records exact request bytes and deterministic usage, runs baseline then CTX with identical controls, and remains diagnostic evidence that cannot establish product benefit.","Loopback networking, the local benchmark fixtures, and an explicit deterministic approval digest are available.",".venv/bin/python -m pytest -q --no-cov src/tests/test_ctx_ab_deterministic_bridge.py src/tests/test_ctx_ab_deterministic_pair.py src/tests/test_ctx_ab_live_coding_pair.py","Automated Contract Test","Needs Validation","PASS FOCUSED: the current deterministic pair, bridge, and live-pair compatibility suite reports 78 passed with no paid provider or external network use.","","","","","","2026-08-02","QA/Test Gate Lane","This is plumbing and fairness evidence only; the real-provider controlled campaign remains separate and no causal or product claim is allowed.","Independent live-pair review and consolidated current-tree preflight green","The bridge is bounded to local loopback and the reports retain false production-efficiency and product-claim gates.","Keep deterministic diagnostics separate from real-provider evidence and preserve exact request and approval binding.","Validated as deterministic transport/accounting evidence by focused tests and all 19 current-tree preflight lanes; no product-benefit claim."
MAINT-015,,expert-lane/telemetry-release-governance,Maintainer,No-mistakes Codex launcher,scripts/no_mistakes_codex_env.sh,scripts/no_mistakes_codex_env.sh; src/tests/test_no_mistakes_env.py,High,As a maintainer I can run no-mistakes after the desktop app name or installation path changes,Launcher preserves the trusted project Python environment resolves explicit executable and resource known-app and PATH candidates and validates both explicit overrides independently,POSIX shell and an installed Codex executable,.venv/bin/python -m pytest -q --no-cov src/tests/test_no_mistakes_env.py,Automated Test,Needs Validation,PASS FOCUSED: commit 2f8393f6 validates both explicit overrides independently; 15 focused tests pass and the real launcher resolves codex-cli 0.145.0-alpha.18.,AUDIT-072,The combined explicit executable and missing resource override previously bypassed resource validation.,Set a runnable explicit executable and a missing explicit resource directory then run the wrapper.,Fixed,PASS FOCUSED: the invalid resource override is rejected independently and all launcher discovery regressions pass; final real no-mistakes integration is pending.,2026-07-20,QA/Test Gate Lane,POSIX wrapper tests are intentionally skipped on native Windows while GitHub validates the surrounding CI contract.,Approved locally pending integration gate,Focused regression and real launcher execution prove the fix; the final branch-wide no-mistakes run remains the integration proof.,Ponytail: validate both nonempty explicit overrides before discovery and retain the combined-boundary regression.,Pending the final real no-mistakes run after all benchmark work is committed
"MAINT-016","","docs/qa/feature-user-story-status.csv","Maintainer","Adaptive ctx development benchmark","scripts/ctx_ab_benchmark.py","scripts/ctx_ab_benchmark.py; scripts/ctx_ab_exposure_ledger.py; scripts/ctx_ab_holdout.py; scripts/ctx_ab_holdout_acquire.py; scripts/ctx_ab_holdout_freeze.py; scripts/ctx_ab_holdout_materialize.py; scripts/ctx_ab_holdout_prepare.py; scripts/ctx_ab_swebench.py; benchmarks/ctx_ab/holdout-protocol-v1.json; benchmarks/ctx_ab/scenarios.yaml; src/tests/test_ctx_ab_benchmark.py; src/tests/test_ctx_ab_exposure_ledger.py; src/tests/test_ctx_ab_holdout_freeze.py; src/tests/test_ctx_ab_holdout_materialize.py; src/tests/test_ctx_ab_holdout_prepare.py; src/tests/test_ctx_ab_holdout_protocol.py; src/tests/test_ctx_ab_holdout_selection.py; src/tests/test_ctx_ab_swebench.py; qa/ctx_benchmark_status.csv","High","As a product owner I can compare the same feature development task with and without production CTX using reproducible quality, token, development-time, lifecycle, failure, and uncertainty evidence.","The confirmatory runner assigns ten hidden tasks from ten repositories to identical baseline and CTX arms, authenticates a frozen 30-pair schedule, evaluates both patches with the same blinded official SWE-bench Docker verifier, records exact provider usage and truthful CTX recommendation/load/use/unload evidence, and publishes no benefit claim unless every quality and evidence gate passes.","macOS Codex authentication, Python 3.12 environment, pinned official SWE-bench runtime and images, cached repositories, execution-frozen owner-only scenarios, and a clean committed head.","Run focused benchmark and holdout tests, authenticate the complete historical exposure inventory, materialize all ten official red/reference controls, freeze V2 before any selected task reaches CTX or a model, execute three paired repetitions per task sequentially with retries disabled, then inspect incidents, hidden evaluator results, exact usage, development time, lifecycle, and repository-clustered effects.","Automated Test plus Blinded Evaluation","Needs Validation","CURRENT CANDIDATE: framework PR #253 merged as 0e9289e4 after all required checks passed, including native Windows 3.12. The exact combined V2 suite passed 505/505 on framework code HEAD 547b80a5; exact-head preflight passed 19/19 on 78a003ac with 6,163 unit tests. Independent runtime, methodology, and CI reviewers returned MERGE. A fresh clean merged-main worktree, isolated Python 3.12.13 environment, and pinned Docker daemon pass dependency and amd64/arm64 conformance. Official evidence remains 0/10 controls, 0/30 pairs, and 0/60 arms.","BENCH-007; BENCH-008; BENCH-010; BENCH-011; BENCH-014; BENCH-021; BENCH-031; BENCH-032; BENCH-033; BENCH-034; BENCH-035; BENCH-036; BENCH-037; BENCH-038; BENCH-039; BENCH-040; BENCH-041; BENCH-042","The authenticated framework, native platform proof, merge, and local runtime conformance are complete; the complete historical exposure inventory, ten controls, 30 paired runs, failure classification, and honest product verdict remain open.","Authenticate every known historical exposure source, then execute all ten controls and 30 pairs sequentially from the clean merged-main worktree, classify every failure, and retain a valid not_beneficial verdict as final.","Framework integration, authenticated snapshots, historical-exposure rejection, source-closure enforcement, one-shot execution, merged-main identity, platform temporary-path rejection, authoritative verdict gates, task-disjoint-or-no-go generation, native Windows CI, and Docker/Python conformance are fixed; production execution remains pending.","CURRENT CANDIDATE 0e9289e4: merged-main identity is clean; required CI and native Windows passed; Python 3.12.13 and Docker amd64/arm64 conformance passed. Production execution remains 0/10 controls, 0/30 pairs, and 0/60 arms.","2026-07-30","QA/Test Gate Lane","Framework evidence proves mechanics and trust boundaries only; it does not prove CTX benefit. The confirmatory result is an intent-to-treat estimate and may honestly be not_beneficial. Any outcome-informed later study requires task-disjoint tasks and may require a new pinned universe.","Methodology, security, runtime-state, source-closure, exposure-ledger, and CI-policy scopes are approved; exposure inventory completeness and live product evidence remain pending.","Do not interpret green framework tests as product benefit. BENCH-034 and BENCH-035 remain open until the official controls and campaign finish; a valid not_beneficial result is final.","Ponytail: retain one evaluator and one frozen paired design; fix only reproduced harness or CTX defects, and require task-disjoint selection or a new pinned universe after outcome-informed changes.","Pending complete exposure inventory, ten controls, 30 pairs, 60 arms, independent result review, and publication of the honest verdict."
CLI-001,,docs/qa/feature-user-story-status.csv,CLI,Generic model run harness,ctx; python -m ctx,pyproject.toml project.scripts and src/ctx/__main__.py,High,As a user I can run or resume a model-agnostic ctx session,ctx and python -m ctx expose the same run/resume/sessions harness with configured provider tools secret-safe MCP attachment token budgets transcript ordering privacy-safe failure telemetry and persisted initial trace metadata,Provider credentials or dry-run/local test provider available,ctx --help; python -m ctx --help; focused run/resume smoke,Automated Test,Retested Pass,PASS: test_harness_cli_run.py focused suite reports 73 passed; test_package_scaffold.py covers python -m ctx --help.,AUDIT-018,Early ctx run/resume failures could exit without complete telemetry or trace correlation.,Trigger ctx run/resume early failure paths and inspect telemetry/session metadata.,Fixed,PASS: .venv/bin/pytest src/tests/test_harness_cli_run.py -q --tb=short -> 73 passed.,2026-07-05,CLI Lane,Updated for CLI failure telemetry trace metadata and inline MCP secret rejection.,Reviewed by no-mistakes,no-mistakes run 01KWSCY4EF01EXWSHYB5SGS4BC reached passed after review/test/document/lint/CI; post-merge stats cleanup PR #239 also passed.,Ponytail: telemetry-only hardening plus inline MCP secret rejection; no CLI behavior expansion.,Validated by focused regressions and no-mistakes run 01KWSCY4EF01EXWSHYB5SGS4BC on PR #238; PR merged as 90babdd and post-merge inventory cleanup merged as PR #239.
CLI-002,,docs/qa/feature-user-story-status.csv,CLI,Repository recommendation,ctx-recommend,pyproject.toml project.scripts,Medium,As a user I can ask ctx for current repo recommendations,ctx returns capped relevant skill agent MCP recommendations from the shared graph engine,Graph installed and target repo available,ctx-recommend --help then sample repo recommendation,Automated Test,Tested Pass,recommend CLI/golden subset: 24 passed for ctx-recommend and shared recommendation surfaces.,,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-003,,docs/qa/feature-user-story-status.csv,CLI,Initial setup,ctx-init,pyproject.toml project.scripts,Medium,As a new user I can install hooks graph and model mode from one command,ctx-init installs requested pieces idempotently and reports failures with non-zero exit,Writable user config directory,ctx-init --model-mode skip --graph,CLI Smoke,Retested Pass,"PASS: final wheel 1b435d9b installs the runtime graph and actionable pack in a fresh home; independent clean-install and descriptor-pinned filesystem reviews pass.",AUDIT-087; AUDIT-088,"The previous clean-install path could delete unrelated converted wiki content, accept a symlinked ancestor, and expose too little actionable skill, agent, and MCP context.",Install the real runtime archive or wheel into a temporary home containing a private converted skill and a symlinked .claude ancestor; run ctx-init repeatedly and inspect recommendations and install paths.,"Fixed in commits 3b50bfd6, 9dec65c7, and 09d157a1.","PASS: final archive and wheel clean installs, preservation, containment, idempotence, and skill, agent, and MCP actionability smokes pass.",2026-07-27,CLI Lane,The final wheel was imported from its installed site-packages path outside the repository.,Approved by independent clean-install and filesystem reviewers,"No P0-P3 remains in the clean-home, path containment, or artifact actionability boundary.","Preserve user-owned wiki content, reject unsafe ancestors, and ship an attested project-owned context pack.","Validated by independent reviews and final wheel 1b435d9b A-Z smoke"
CLI-004,,docs/qa/feature-user-story-status.csv,CLI,Claude hook install,ctx-install-hooks,pyproject.toml project.scripts,Medium,As a Claude Code user I can install ctx hooks,Hooks are installed idempotently and point to existing modules,Claude config path writable,ctx-install-hooks --help then temp-home smoke,Automated Test,Tested Pass,inject hooks/ctx-init hook subset: 24 passed for hook install and failure handling.,,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-005,,docs/qa/feature-user-story-status.csv,CLI,Repo stack scan,ctx-scan-repo,pyproject.toml project.scripts; src/ctx/core/resolve/resolve_skills.py; src/ctx/core/resolve/stack_skill_map.py,Medium,As a developer I can scan a repo and get stack plus recommendations,Scan detects stack signatures and renders recommendations consistently with graph engine,Sample repos available,ctx-scan-repo --repo . --recommend,CLI Smoke,Retested Pass,"PASS: final wheel 1b435d9b scans the real repo and returns actionable ctx skills, agent, and MCP buckets under no-key filtering.",AUDIT-088; AUDIT-103; AUDIT-105; AUDIT-107,"The clean scanner previously omitted the no-key constraint or could return no actionable skills, agents, or MCPs.",Install the runtime graph into an empty wheel home and run ctx-scan-repo --repo . --recommend without API keys; inspect every recommendation bucket.,"Fixed by the packaged overlay, shared no-key parser, and pre-ranking actionability filter.","PASS: installed-wheel scan returns ctx-python-testing, ctx-javascript-testing, ctx-python-reviewer, and ctx-core; focused scanner and recommendation suites pass.",2026-07-27,CLI Lane,The scan used the installed wheel outside the source tree against the real repository.,Approved by independent artifact and recommendation reviewers,All returned clean-runtime entities have a local source or concrete install path.,Forward explicit no-key intent and filter before ranking.,Validated by final wheel 1b435d9b scan and focused regressions
